Year	Tokyo	Jakarta	Seoul	Delhi	Shanghai	Manila	Karachi	New York City	São Paulo	Mexico City	Beijing	Guangzhou	Mumbai	Osaka	Moscow	Los Angeles	Bangkok	Buenos Aires	Istanbul	London	Paris	Chicago	Madrid	Saint Petersburg	Berlin	Rome	Vienna	Copenhagen
2000	1	21	22	23	6	24	25	5	4	2	26	27	28	3	9	7	12	8	10	14	11	13	15	16	17	18	19	20
2014	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	17	19	21	23	29	30	31	32	33	34	35	36	37
